\badvance,(pompous),
\badvances,(pompous),
\bassessment,(redundant),
"\bat the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bblessing in disguise",(annoying),
"\bblow your mind",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
\bcommunication,(redundant),
\bconcerning,(redundant),
"\bconsidered harmful",(overdone),
\bcontribution,(redundant),
\bdispatches,(pompous),
\bdispatch,(redundant),
\bdocumentation,(redundant),
\bearly,(transient),
\befficient,(pompous),
"\bElvis has left the building",(annoying),
\benhanced,(pompous),
\bessay,(redundant),
"\beye of the beholder",(annoying),
\bfirst,(transient),
\bfoundation,(pompous),
\bfoundations,(pompous),
\bfundamental,(pompous),
\bgreen,(buzzword),
"\bhere are the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bhow to",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bhow to make",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bin a",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
\binformation,(redundant),
\binterplay,(pompous),
"\bin the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bin the world",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
\binvestigation,(redundant),
\binvestigations,(redundant),
"\bis the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bI've ever seen",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bless is more",(annoying),
"\blike a normal",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\blooks like a",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bmake you",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
\bmodern,(transient),
"\bmore is less",(annoying),
\bnature,(vague),
\bnew,(transient),https://www.uspto.gov/web/offices/pac/mpep/s606.html
\bnote,(redundant),
\bnotes,(redundant),
\bnovel,(transient),https://www.uspto.gov/web/offices/pac/mpep/s606.html
\binnovative,(transient),
\bobservation,(redundant),
\bobservations,(redundant),
"#\bof the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
\bpreliminary,(redundant),
\breflection,(pompous),
\breflections,(pompous),
\breport,(redundant),
\breports,(redundant),
\bresearch,(redundant),
\bresults,(redundant),
"\bseeing is believing",(annoying),
"\bseeing the forest",(annoying),
\bshort,(irrelevant),
"\bsome like it hot",(annoying),
"\bstate of the art",(transient),
\bstate-of-the-art,(transient),
\bstudies,(redundant),
\bstudy,(redundant),
\bsuperior,(pompous),
\bsustainable,(buzzword),
\btechnical,(redundant),
"\bthat will",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bthat will make",(clickbait),
"\bthe best",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bthe good, the bad and the ugly",(annoying),
"\bthe good, the bad, and the ugly",(annoying),
"\bthe most",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bthis guy",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bthis is",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bthis is the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bthis is what",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\btil you see",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bto be",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bto the",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\buntil you see",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwait til you",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwait until you",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhat happened",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhat happened to",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhat happens when",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhat he did",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhat this",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhat this guy",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhen you",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwhen you see",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bwill make you",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\bworse is better",(overdone),
\bwriting,(redundant),
"\byou need to",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\byou see",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
"\byou see what",(clickbait),https://blog.bufferapp.com/the-most-popular-words-in-most-viral-headlines
\bunique,(transient),
\bfoundational,(pompous),
\bfoundations,(pompous),
\bfoundation,(pompous),
